,count,mean,std,min,25%,50%,75%,max,variance,skewness,kurtosis,IQR
Happiness_Score,782.0,5.379017902998669,1.1274564601550123,2.69300007820129,4.50975,5.322,6.189500000000001,7.769,1.271158069545271,0.035859433273691114,-0.7610545865625724,1.6797500000000003
GDP_per_Capita,782.0,0.9160474824829717,0.4073401312898192,0.0,0.6065,0.9822047088146211,1.2361871089935301,2.096,0.16592598255920718,-0.3185805094075457,-0.6927595053792621,0.6296871089935301
Social_Support,782.0,1.0783924825069788,0.3295483193342901,0.0,0.8693625,1.124735,1.32725,1.644,0.10860209477605522,-0.6846322897626194,0.15844868331084427,0.4578875
Life_Expectancy,782.0,0.612415577116253,0.2483086403797618,0.0,0.44018250000000003,0.6473095147037504,0.808,1.141,0.06165718088724587,-0.5012025621921574,-0.4875712070381275,0.3678175
Freedom,782.0,0.4110908258223148,0.15288042062896512,0.0,0.30976750000000003,0.431,0.531,0.724,0.023372423011689306,-0.5212591254144608,-0.3072054061149583,0.2212325
Generosity,782.0,0.2185758415608299,0.12232074871938417,0.0,0.13,0.2019822115302085,0.2788325,0.838075160980225,0.014962365567270723,1.0443600152578012,2.020258278370997,0.14883249999999998
Corruption,782.0,0.12539157826211197,0.10575585115897151,0.0,0.05425,0.091,0.15586083810687074,0.55191,0.011184300054358538,1.5227563722145414,1.8875809619169535,0.10161083810687074
